source,symbol,base_asset,quote_asset,price,volume_24h,market_cap,rank,timestamp,raw_symbol,canonical_symbol,exchange,extra_metadata
coinmarketcap,KAS,KAS,USD,0.031968864561838034,17355527.71942062,873569617.06,57,2026-03-31 13:33:59.686346+00:00,kaspa,KAS,,"{""name"": ""Kaspa"", ""circulating_supply"": 27325637899.11223, ""percent_change_24h"": -3.04656484}"
coinmarketcap,NIGHT,NIGHT,USD,0.051594339205406264,578874879.3792288,856847798.01,58,2026-03-31 13:33:59.686346+00:00,midnight-network,NIGHT,,"{""name"": ""Midnight"", ""circulating_supply"": 16607399401.0, ""percent_change_24h"": 10.14291295}"
coinmarketcap,QNT,QNT,USD,70.31810946754716,10307481.39012074,848932112.26,59,2026-03-31 13:33:59.686346+00:00,quant,QNT,,"{""name"": ""Quant"", ""circulating_supply"": 12072738.0, ""percent_change_24h"": 0.94465222}"
coinmarketcap,ATOM,ATOM,USD,1.6745958124504092,48785751.28847519,838388302.54,60,2026-03-31 13:33:59.686346+00:00,cosmos,ATOM,,"{""name"": ""Cosmos"", ""circulating_supply"": 500651140.0, ""percent_change_24h"": -0.66711378}"
coinmarketcap,ENA,ENA,USD,0.09097155204935492,80348056.72658497,772547477.17,61,2026-03-31 13:33:59.686346+00:00,ethena,ENA,,"{""name"": ""Ethena"", ""circulating_supply"": 8492187500.0, ""percent_change_24h"": -1.53970953}"
coinmarketcap,SIREN,SIREN,USD,1.0560537774314949,59130930.57030251,769032953.98,63,2026-03-31 13:33:59.686346+00:00,siren-bsc,SIREN,,"{""name"": ""siren"", ""circulating_supply"": 728213818.6631767, ""percent_change_24h"": -38.8551641}"
coinmarketcap,ALGO,ALGO,USD,0.08616586773908408,46939231.11500389,766332081.3,63,2026-03-31 13:33:59.686346+00:00,algorand,ALGO,,"{""name"": ""Algorand"", ""circulating_supply"": 8893684952.177654, ""percent_change_24h"": 3.02845004}"
coinmarketcap,GT,GT,USD,6.508007066238222,2406523.15106497,749595983.3,64,2026-03-31 13:33:59.686346+00:00,gatetoken,GT,,"{""name"": ""GateToken"", ""circulating_supply"": 115180573.04885802, ""percent_change_24h"": -1.1317044}"
coinmarketcap,APT,APT,USD,0.8965070538159433,70577764.73780495,711961577.66,65,2026-03-31 13:33:59.686346+00:00,aptos,APT,,"{""name"": ""Aptos"", ""circulating_supply"": 794150558.6965321, ""percent_change_24h"": -3.96536457}"
coinmarketcap,TRUMP,TRUMP,USD,2.9915270811717214,147577628.18069384,695523932.64,66,2026-03-31 13:33:59.686346+00:00,official-trump,TRUMP,,"{""name"": ""OFFICIAL TRUMP"", ""circulating_supply"": 232497956.316468, ""percent_change_24h"": 0.47147935}"
